Pou wiil adoreei o aplicativo, me visitem (: o nome do meu Pou é wiil !!;pos
Legal Interessante jogo;pos
Dou 5 estrelas! Muito bom.;pos
Galaxy ace E otimo mais o dragao demora muito pra crecer;pos
Muito legal,podem baixar galera sem medo.;pos
Max O grafico é ruim;neg
Bom Jogo Bom para passar o tempo;pos
muitoo boom pra quem gosta desse tipo de jogo, esse é ecelente;pos
Nao consigo Nao consigo instalar o jogo' ao abrir aparece uma mensagem assim, erro no servidor pedindo pra netrar num site lá' gente me ajudem me add no fcae pra gente falar robert_unknow@hotmail.com;neg
Excelente Foi o melhor jogo de guerra q eu vi. Me add DKEQUC;pos
Perfeito Roda perfeito no meu experia arc;pos
Amei Adorei o jogo, vence pela sua simplicidade e diversao.;pos
Legal Os jogos sso divertidos mas muito simples. Mesmo assim ainda é um bom passa tempo.;pos
Ótimo jogo Mas precisa de um bom hardware. Perfeito no galaxy s ii;pos
Porra parece ser tão bom+ nao presta;neg
Casttelo Muito bom recomendo;pos
Execelente Muito bom esse jogo!!! Adoreei...recomendo.;pos
Muito bom. Adoooro!;pos
É bom Ótimo;pos
Péssimo Uma bosta;neg
Wil nossa demora demais para os jogadores se recuperarem e além disso recebo msg de que estão prontos e volto para o jogo não podendo jogar pq falta muito tempo ainda.... Por favor reparem isso....;neg
Ótima aplicaçao;pos
Muito bom Muito bom,  roda perfeito no sgs2.  Recomendo.;pos
Mt bom, amei;pos
Cons security O jogo e fenomenal;pos
Muito loko adorei!!! Muito da hora!;pos
Opa!!!! Da hora mesmo!!!;pos
Galaxy mini Esse jogo e otimo;pos
Sabrina Muito bom;pos
Muito bom Nossaa esse negocio vicia;pos
Muito bom A cada nova versão, o jogo vai evoluindo de um forma impressionante.;pos
Não instala N funciona;neg
S3 muito bom jogo so nao sei pq trava tanto em um s3 Bom jogo   parece com monster vs alienienas;pos
Ótimo Incrível;pos
Excelente!!! Lembro dos Asphalt 1 e 2 dos falecidos Symbians, o jogo já era ótimo e só teve melhorias até hoje! Nota 10!;pos
Ruim de mais Cara esse jg e só pista reta e muito ruim  então n aconselho ninguém a jogar isso.;neg
bom ele e muito bom;pos
Não da pra jogar direito Antes até era bom mas agora toda vez no meio do jogo ele da pau e fecha, não consigo jogar mais;neg
Da pra passar o tempo.;pos
Bacana Bom na hora do almoço :(;pos
Como esse povo jogo??tem pessoas que dissecomeçei a jogar e não parei mais '' . Como assim ,lixo isso um lixo o google aceitou ,um lixo perdi tempo .;neg
T É muito fera;pos
Muito bom Gostei muito.;pos
Perfeito *.* Otimo Jogo, Super Que Recomendo.;pos
Jonathan muito bom adorei o jogo o gráfico tom uoooooll;pos
eggs caramba demora muito;neg
Legal Comprei na promoção e me surpreendi. O jogo nao tem grande objetivo, e enjoaria logo, mas a variedade das fases evitm isso. Jogo nada espetacular, mas muito divertido,;pos
Bom, falta um modo online para melhorar;pos
